CLo,1.351305019999999885e-04,1.424681669999999887e-04,1.426617759999999977e-04,1.425494220000000012e-04,1.425248149999999887e-04,1.425208480000000107e-04,1.425198009999999931e-04,1.425194899999999889e-04,1.425194170000000096e-04,1.425194030000000113e-04,1.425193920000000010e-04,1.425193910000000050e-04,1.425193890000000130e-04,1.425193869999999939e-04,1.425193850000000019e-04,1.425193819999999868e-04,1.425193789999999988e-04,1.425193799999999948e-04,1.425193710000000036e-04,1.425193739999999916e-04
CLtot,1.351305019999999885e-04,2.184879192720000085e-01,2.158897234409999921e-01,2.168076960049999946e-01,2.169799520060000098e-01,2.170397496439999963e-01,2.170598068719999940e-01,2.170648363759999921e-01,2.170657147960000088e-01,2.170657119249999878e-01,2.170656082549999866e-01,2.170655430189999957e-01,2.170654242570000114e-01,2.170653405759999932e-01,2.170652947499999985e-01,2.170652205770000065e-01,2.170651694329999992e-01,2.170651268700000136e-01,2.170651639179999870e-01,2.170649050590000018e-01
CLwtot,1.351305019999999885e-04,2.185121334179999930e-01,2.161214476140000118e-01,2.172510337889999865e-01,2.175545340699999997e-01,2.176057040820000010e-01,2.176235043530000135e-01,2.176279357950000048e-01,2.176286462460000071e-01,2.176285950309999884e-01,2.176284769949999864e-01,2.176284074679999958e-01,2.176282873400000040e-01,2.176282022699999874e-01,2.176281552750000126e-01,2.176280799560000034e-01,2.176280260239999986e-01,2.176279858590000060e-01,2.176280202820000120e-01,2.176277616520000124e-01
CMxi,0.000000000000000000e+00,-1.194919213000000032e-03,-1.271009930999999994e-03,-1.295913137999999982e-03,-1.246929245000000025e-03,-1.243737262000000005e-03,-1.242664777000000026e-03,-1.242326825999999929e-03,-1.242257307999999937e-03,-1.242239178999999952e-03,-1.242219914999999949e-03,-1.242201142999999931e-03,-1.242195185000000103e-03,-1.242189729999999999e-03,-1.242189377000000108e-03,-1.242179062999999905e-03,-1.242177580999999972e-03,-1.242176836999999909e-03,-1.242174830999999901e-03,-1.242171744000000093e-03
CMxo,-0.000000000000000000e+00,3.762000000000000202e-08,3.236100000000000106e-08,3.297599999999999697e-08,3.269199999999999919e-08,3.256000000000000171e-08,3.253700000000000210e-08,3.252799999999999852e-08,3.252799999999999852e-08,3.252699999999999738e-08,3.252600000000000286e-08,3.252600000000000286e-08,3.252500000000000173e-08,3.252500000000000173e-08,3.252500000000000173e-08,3.252400000000000060e-08,3.252400000000000060e-08,3.252400000000000060e-08,3.252400000000000060e-08,3.252400000000000060e-08
CMxtot,-0.000000000000000000e+00,-1.194881593000000084e-03,-1.270977570000000065e-03,-1.295880161999999908e-03,-1.246896552999999901e-03,-1.243704701000000008e-03,-1.242632239999999933e-03,-1.242294297000000021e-03,-1.242224780000000025e-03,-1.242206652000000036e-03,-1.242187389000000029e-03,-1.242168617000000011e-03,-1.242162659999999962e-03,-1.242157205000000075e-03,-1.242156851999999968e-03,-1.242146537999999981e-03,-1.242145056000000048e-03,-1.242144312999999981e-03,-1.242142306999999973e-03,-1.242139219999999948e-03
CMyi,0.000000000000000000e+00,1.196488883640000056e-01,1.245144038880000026e-01,1.218523853520000061e-01,1.216417485020000050e-01,1.214854636230000007e-01,1.214421437070000026e-01,1.214296431110000046e-01,1.214268487690000065e-01,1.214263941709999989e-01,1.214261593009999946e-01,1.214261664869999979e-01,1.214261884449999995e-01,1.214261819929999958e-01,1.214261866940000018e-01,1.214261488260000021e-01,1.214261017019999944e-01,1.214262338740000058e-01,1.214259964339999970e-01,1.214263382670000002e-01
CMyo,4.311082758000000376e-03,4.618880849000000198e-03,4.619792987999999691e-03,4.618381922000000181e-03,4.618223878999999817e-03,4.618186695000000078e-03,4.618182767000000161e-03,4.618180514000000056e-03,4.618179644000000063e-03,4.618179247000000348e-03,4.618178875999999662e-03,4.618178778999999616e-03,4.618178615000000271e-03,4.618178488999999907e-03,4.618178423000000171e-03,4.618178294000000253e-03,4.618178193999999785e-03,4.618178187999999809e-03,4.618178038999999971e-03,4.618177884999999719e-03
CMytot,4.311082758000000376e-03,1.242677692120000010e-01,1.291341968760000014e-01,1.264707672740000011e-01,1.262599723800000018e-01,1.261036503179999990e-01,1.260603264750000119e-01,1.260478236249999995e-01,1.260450284129999987e-01,1.260445734189999945e-01,1.260443381770000038e-01,1.260443452660000019e-01,1.260443670599999955e-01,1.260443604819999897e-01,1.260443651170000123e-01,1.260443271199999937e-01,1.260442798960000055e-01,1.260444120620000108e-01,1.260441744739999870e-01,1.260445161519999913e-01
CMzi,0.000000000000000000e+00,5.967084080000000434e-04,4.394153170000000006e-04,3.777183249999999798e-04,4.064423619999999859e-04,4.059589369999999880e-04,4.050788410000000141e-04,4.048910350000000193e-04,4.048066569999999903e-04,4.048020749999999761e-04,4.048188580000000266e-04,4.048252090000000196e-04,4.048218320000000151e-04,4.048241820000000033e-04,4.048168940000000139e-04,4.048084540000000198e-04,4.048177470000000207e-04,4.048229330000000068e-04,4.048167210000000005e-04,4.048160039999999923e-04
CMzo,-6.260549999999999504e-07,1.898410000000000123e-07,-4.016850000000000132e-07,-3.651310000000000156e-07,-3.316179999999999986e-07,-3.346530000000000255e-07,-3.349849999999999784e-07,-3.351179999999999969e-07,-3.350920000000000203e-07,-3.350979999999999742e-07,-3.351300000000000105e-07,-3.351889999999999980e-07,-3.352110000000000229e-07,-3.352280000000000157e-07,-3.352329999999999949e-07,-3.352629999999999760e-07,-3.352660000000000059e-07,-3.352700000000000104e-07,-3.352780000000000195e-07,-3.352919999999999824e-07
CMztot,-6.260549999999999504e-07,5.968982489999999841e-04,4.390136320000000017e-04,3.773531940000000146e-04,4.061107440000000083e-04,4.056242829999999987e-04,4.047438559999999921e-04,4.045559169999999867e-04,4.044715650000000164e-04,4.044669770000000261e-04,4.044837279999999877e-04,4.044900199999999996e-04,4.044866209999999746e-04,4.044889539999999765e-04,4.044816610000000071e-04,4.044731920000000204e-04,4.044824799999999871e-04,4.044876629999999852e-04,4.044814430000000108e-04,4.044807120000000044e-04
CSi,0.000000000000000000e+00,1.697972636999999906e-03,1.126729030000000022e-03,9.507403280000000390e-04,1.039597804000000000e-03,1.038519517999999999e-03,1.036509845000000004e-03,1.035835430999999937e-03,1.035714052000000088e-03,1.035710267000000033e-03,1.035756340000000032e-03,1.035773267000000050e-03,1.035789553000000026e-03,1.035797045000000013e-03,1.035808652000000038e-03,1.035811699000000006e-03,1.035811534000000015e-03,1.035823896000000058e-03,1.035808369000000085e-03,1.035805357999999973e-03
CSiw,0.000000000000000000e+00,1.444424197000000005e-03,8.329244730000000306e-04,7.040944499999999889e-04,7.621706499999999530e-04,7.632328099999999890e-04,7.618299579999999668e-04,7.613977729999999756e-04,7.613069349999999555e-04,7.613143580000000018e-04,7.613632160000000397e-04,7.613816140000000338e-04,7.613938929999999753e-04,7.614012259999999475e-04,7.614058009999999897e-04,7.614074099999999573e-04,7.614087010000000029e-04,7.614118730000000133e-04,7.614057789999999692e-04,7.614104360000000090e-04
CSo,0.000000000000000000e+00,-7.182000000000000221e-09,-4.874999999999999812e-09,-5.089000000000000107e-09,-5.093999999999999987e-09,-5.066999999999999977e-09,-5.065000000000000190e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09,-5.063000000000000404e-09
CStot,0.000000000000000000e+00,1.697965453999999985e-03,1.126724154999999986e-03,9.507352389999999907e-04,1.039592708999999976e-03,1.038514451000000080e-03,1.036504780000000077e-03,1.035830368000000001e-03,1.035708988999999936e-03,1.035705203000000102e-03,1.035751277000000097e-03,1.035768203999999897e-03,1.035784490000000091e-03,1.035791982000000078e-03,1.035803589000000103e-03,1.035806636000000070e-03,1.035806471000000079e-03,1.035818832999999906e-03,1.035803305999999932e-03,1.035800295000000038e-03
CSwtot,0.000000000000000000e+00,1.444417014000000084e-03,8.329195979999999945e-04,7.040893610000000490e-04,7.621655560000000331e-04,7.632277429999999611e-04,7.618248940000000354e-04,7.613927100000000402e-04,7.613018720000000201e-04,7.613092949999999580e-04,7.613581519999999998e-04,7.613765509999999900e-04,7.613888300000000399e-04,7.613961630000000121e-04,7.614007390000000503e-04,7.614023470000000219e-04,7.614036379999999590e-04,7.614068099999999695e-04,7.614007160000000338e-04,7.614053739999999612e-04
E,0.000000000000000000e+00,7.202218889460000328e-01,6.644217148859999922e-01,6.727523675180000495e-01,6.714744700939999644e-01,6.716184679259999957e-01,6.717452076269999628e-01,6.718648654009999888e-01,6.718659254030000527e-01,6.718186986149999873e-01,6.718220350879999803e-01,6.718187545720000209e-01,6.718187871509999631e-01,6.718247451350000121e-01,6.718292849239999587e-01,6.718408629190000259e-01,6.718573344360000421e-01,6.718266197169999732e-01,6.718444453959999674e-01,6.718355019089999880e-01
