Results_Name,VSPAERO_History
Results_Timestamp,1786902353
Results_Date,8,16,2026
Results_Time,23,15,53
CFxtot,7.533675234000000026e-03,1.706663926600000131e-02,1.691996515800000059e-02,1.689848221799999939e-02,1.690027360900000011e-02,1.690335081300000167e-02,1.690390464100000045e-02,1.690407137299999862e-02,1.689941191699999984e-02,1.689695092300000021e-02,1.689918286599999958e-02,1.689777875300000134e-02
CFxwtot,7.533675234000000026e-03,1.655927851500000117e-02,1.648502903699999855e-02,1.646514156200000120e-02,1.647052638599999855e-02,1.647418052900000152e-02,1.647500863599999851e-02,1.647528247000000154e-02,1.647475133299999839e-02,1.647475002699999927e-02,1.647474387600000173e-02,1.647537836899999955e-02
CFyi,0.000000000000000000e+00,7.500006600000000076e-05,6.969191180000000162e-04,7.046333630000000412e-04,6.739233750000000111e-04,6.741324830000000514e-04,6.746724839999999846e-04,6.750369350000000107e-04,6.753289200000000062e-04,6.752566129999999908e-04,6.752886289999999970e-04,6.752306829999999522e-04
CFyiw,0.000000000000000000e+00,-1.535516339999999950e-04,4.489801079999999759e-04,4.584887749999999986e-04,4.293826640000000198e-04,4.310797249999999870e-04,4.320077439999999943e-04,4.325246149999999764e-04,4.326562200000000011e-04,4.327704930000000005e-04,4.328056420000000104e-04,4.326647620000000213e-04
CFyo,0.000000000000000000e+00,-4.478999999999999939e-09,-4.518000000000000322e-09,-4.561000000000000276e-09,-4.505999999999999949e-09,-4.494999999999999884e-09,-4.491999999999999791e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09
CFytot,0.000000000000000000e+00,7.499558599999999907e-05,6.969145999999999631e-04,7.046288020000000514e-04,6.739188690000000185e-04,6.741279880000000148e-04,6.746679920000000445e-04,6.750324439999999581e-04,6.753244289999999535e-04,6.752521220000000466e-04,6.752841380000000528e-04,6.752261920000000080e-04
CFywtot,0.000000000000000000e+00,-1.535561129999999871e-04,4.489755909999999729e-04,4.584842150000000048e-04,4.293781590000000231e-04,4.310752300000000046e-04,4.320032519999999999e-04,4.325201239999999780e-04,4.326517290000000027e-04,4.327660029999999981e-04,4.328011510000000120e-04,4.326602710000000229e-04
CFzi,0.000000000000000000e+00,1.945969614480000109e-01,1.939460998870000119e-01,1.920691688879999914e-01,1.921675327650000098e-01,1.922430848820000093e-01,1.922562714670000006e-01,1.922616783370000026e-01,1.922517299350000042e-01,1.922516947139999988e-01,1.922514994869999883e-01,1.922633078769999948e-01
CFziw,0.000000000000000000e+00,1.947691665079999968e-01,1.942110629330000005e-01,1.923324076310000130e-01,1.924339972540000110e-01,1.925092271780000086e-01,1.925224192770000065e-01,1.925277770999999916e-01,1.925176047459999928e-01,1.925173832119999873e-01,1.925174278900000091e-01,1.925290098000000116e-01
CFzo,-1.305624549999999991e-04,-1.419584069999999985e-04,-1.419485459999999903e-04,-1.419351899999999884e-04,-1.419293809999999981e-04,-1.419299439999999982e-04,-1.419301889999999950e-04,-1.419302979999999932e-04,-1.419297440000000113e-04,-1.419297289999999899e-04,-1.419297289999999899e-04,-1.419303399999999880e-04
CFztot,-1.305624549999999991e-04,1.944550030409999963e-01,1.938041513410000138e-01,1.919272336979999938e-01,1.920256033839999876e-01,1.921011549380000072e-01,1.921143412780000059e-01,1.921197480390000045e-01,1.921098001909999908e-01,1.921097649859999923e-01,1.921095697580000039e-01,1.921213775370000099e-01
CFzwtot,-1.305624549999999991e-04,1.946272081010000099e-01,1.940691143870000024e-01,1.921904724409999876e-01,1.922920678729999888e-01,1.923672972340000065e-01,1.923804890880000118e-01,1.923858468019999934e-01,1.923756750020000073e-01,1.923754534830000029e-01,1.923754981609999970e-01,1.923870794610000046e-01
CLi,0.000000000000000000e+00,1.947935231880000007e-01,1.941379266809999948e-01,1.922612693530000028e-01,1.923596586169999956e-01,1.924352783140000078e-01,1.924484768589999895e-01,1.924538865310000124e-01,1.924437826310000099e-01,1.924436615790000027e-01,1.924435443670000079e-01,1.924552955009999899e-01
CLiw,0.000000000000000000e+00,1.949479167100000021e-01,1.943875492680000039e-01,1.925092243679999982e-01,1.926109628209999869e-01,1.926862806569999975e-01,1.926994942839999891e-01,1.927048586779999961e-01,1.926946750380000017e-01,1.926944536280000009e-01,1.926944980660000029e-01,1.927060940049999949e-01
CLo,1.324385540000000037e-04,1.386402400000000040e-04,1.386626749999999946e-04,1.387959839999999866e-04,1.387790010000000034e-04,1.387722269999999930e-04,1.387713169999999971e-04,1.387709309999999945e-04,1.387704309999999866e-04,1.387704110000000123e-04,1.387704089999999932e-04,1.387708579999999880e-04
CLtot,1.324385540000000037e-04,1.949321634279999882e-01,1.942765893570000124e-01,1.924000653369999925e-01,1.924984376180000067e-01,1.925740505409999914e-01,1.925872481760000088e-01,1.925926574619999943e-01,1.925825530620000059e-01,1.925824319899999970e-01,1.925823147759999909e-01,1.925940663590000046e-01
CLwtot,1.324385540000000037e-04,1.950865569499999896e-01,1.945262119429999881e-01,1.926480203519999879e-01,1.927497418219999981e-01,1.928250528840000089e-01,1.928382656019999863e-01,1.928436296090000057e-01,1.928334454689999977e-01,1.928332240389999952e-01,1.928332684750000137e-01,1.928448648630000095e-01
CMxi,0.000000000000000000e+00,-1.190354839999999918e-03,-1.233182749000000028e-03,-1.246179006000000013e-03,-1.228203614999999905e-03,-1.226013777999999900e-03,-1.225452171000000106e-03,-1.225248433999999963e-03,-1.225313416000000082e-03,-1.225189928999999983e-03,-1.225194005999999955e-03,-1.225308838999999940e-03
CMxo,-0.000000000000000000e+00,2.878999999999999840e-08,2.898599999999999896e-08,2.923999999999999912e-08,2.891099999999999994e-08,2.884099999999999998e-08,2.882400000000000055e-08,2.881699999999999923e-08,2.881399999999999914e-08,2.881399999999999914e-08,2.881399999999999914e-08,2.881900000000000150e-08
CMxtot,-0.000000000000000000e+00,-1.190326050000000031e-03,-1.233153764000000053e-03,-1.246149765999999973e-03,-1.228174705000000064e-03,-1.225984937000000000e-03,-1.225423346999999922e-03,-1.225219616999999967e-03,-1.225284602000000075e-03,-1.225161115999999972e-03,-1.225165191999999948e-03,-1.225280019999999952e-03
CMyi,0.000000000000000000e+00,1.100226088629999988e-01,1.109415594350000034e-01,1.159502676189999998e-01,1.154391749210000040e-01,1.152364078140000053e-01,1.152063331220000014e-01,1.151944887280000052e-01,1.151907632259999981e-01,1.151890232139999998e-01,1.151902716880000010e-01,1.151881350389999947e-01
CMyo,4.272967661000000306e-03,4.526863742000000398e-03,4.526985207000000337e-03,4.528406199000000083e-03,4.528105644999999742e-03,4.528031555000000020e-03,4.528024365999999690e-03,4.528021358999999996e-03,4.528004541000000410e-03,4.528004032000000276e-03,4.528004006999999942e-03,4.528021095999999746e-03
CMytot,4.272967661000000306e-03,1.145494726049999940e-01,1.154685446420000011e-01,1.204786738179999955e-01,1.199672805660000063e-01,1.197644393689999975e-01,1.197343574869999955e-01,1.197225100869999947e-01,1.197187677669999950e-01,1.197170272460000018e-01,1.197182756950000010e-01,1.197161561359999932e-01
CMzi,0.000000000000000000e+00,5.315559200000000124e-05,2.798041339999999860e-04,2.826364959999999788e-04,2.712276859999999934e-04,2.709307109999999877e-04,2.710946750000000033e-04,2.711861380000000197e-04,2.703372660000000183e-04,2.712570159999999988e-04,2.712712320000000067e-04,2.712415259999999858e-04
